1554198362,Cixq6C3leLVUfLYxCe,192.168.1.152,46608,192.168.1.190,53,udp,14482,-,-,-,-,-,-,3,NXDOMAIN,F,F,F,F,0,-,-,F
1554198362,Cixq6C3leLVUfLYxCe,192.168.1.152,46608,192.168.1.190,53,udp,21896,-,-,-,-,-,-,3,NXDOMAIN,F,F,F,F,0,-,-,F
1554198377,CRJaio2bFSmUMmJko1,192.168.1.152,52072,192.168.1.190,53,udp,56143,-,-,-,-,-,-,3,NXDOMAIN,F,F,F,F,0,-,-,F
1554198377,CRJaio2bFSmUMmJko1,192.168.1.152,52072,192.168.1.190,53,udp,10306,-,-,-,-,-,-,3,NXDOMAIN,F,F,F,F,0,-,-,F
1554198392,CPe9mV1nQbmBcxmU9l,192.168.1.152,47671,192.168.1.190,53,udp,46850,-,-,-,-,-,-,3,NXDOMAIN,F,F,F,F,0,-,-,F
1554198392,CPe9mV1nQbmBcxmU9l,192.168.1.152,47671,192.168.1.190,53,udp,25104,-,-,-,-,-,-,3,NXDOMAIN,F,F,F,F,0,-,-,F
1554198407,Cwkl071x5ZMFuEOiLd,192.168.1.152,47248,192.168.1.190,53,udp,15757,-,-,-,-,-,-,3,NXDOMAIN,F,F,F,F,0,-,-,F
1554198407,Cwkl071x5ZMFuEOiLd,192.168.1.152,47248,192.168.1.190,53,udp,51068,-,-,-,-,-,-,3,NXDOMAIN,F,F,F,F,0,-,-,F
1554198422,CpCMR83TZvr6GpftSk,192.168.1.152,51941,192.168.1.190,53,udp,38827,-,-,-,-,-,-,3,NXDOMAIN,F,F,F,F,0,-,-,F
1554198422,CpCMR83TZvr6GpftSk,192.168.1.152,51941,192.168.1.190,53,udp,15575,-,-,-,-,-,-,3,NXDOMAIN,F,F,F,F,0,-,-,F
1554198437,CIaDA82ZcJoEWXXNNk,192.168.1.152,59295,192.168.1.190,53,udp,30717,-,-,-,-,-,-,3,NXDOMAIN,F,F,F,F,0,-,-,F
